Time,Type,Trial,L Dia [mm],L Area [mm],R Dia [mm],R Area [mm],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Trigger
554464361,SMP,1,4.48,4.66,4.66,4.84,100.81,650.25,74.81,646.87,0
554466403,SMP,1,4.48,4.84,4.84,4.66,91.71,657.24,70.04,639.85,0
554468384,SMP,1,4.48,4.84,4.84,4.66,93.56,639.59,77.58,650.61,0
554470384,SMP,1,4.48,4.66,4.66,4.84,100.71,651.87,73.42,652.84,0
554472370,SMP,1,4.48,4.84,4.84,4.84,99.8,646.54,75.39,646.06,0
554474374,SMP,1,4.66,4.84,4.84,4.48,93.31,643.1,75.19,649.51,0
554476358,SMP,1,4.48,4.84,4.66,4.66,102.06,648.92,74.71,651.0,0
554478385,SMP,1,4.48,4.66,4.66,4.66,94.34,660.4,77.17,647.18,0
554480373,SMP,1,4.48,4.84,4.66,4.84,93.8,647.88,70.33,639.54,0
554482392,SMP,1,4.48,4.84,4.66,4.48,95.81,648.89,73.62,647.91,0
554484395,SMP,1,4.48,4.84,4.66,4.84,97.05,644.94,68.96,644.94,0
554486387,SMP,1,4.48,4.84,4.66,4.66,101.61,645.33,66.25,642.53,0
554488392,SMP,1,4.48,4.66,4.66,4.84,96.44,649.94,71.22,646.18,0
554490391,SMP,1,4.48,4.84,4.66,4.84,103.46,651.08,75.55,648.08,0
554492393,SMP,1,4.48,5.01,4.84,4.48,98.15,652.52,72.55,646.09,0
554494390,SMP,1,4.48,4.84,4.66,4.66,91.46,647.1,73.42,647.38,0
554496392,SMP,1,4.48,4.66,4.84,4.84,100.61,653.7,74.5,643.07,0
554498393,SMP,1,4.48,4.66,4.66,4.48,96.85,653.87,72.93,642.4,0
554500392,SMP,1,4.48,4.84,4.66,4.66,90.18,648.87,76.51,653.18,0
554502393,SMP,1,4.48,4.84,4.66,4.66,93.6,643.28,70.25,647.24,0
554504447,SMP,1,4.48,4.84,4.66,4.66,96.26,652.59,74.0,646.92,0
554506397,SMP,1,4.48,4.84,4.66,4.66,98.96,655.15,74.48,651.09,0
